Name,G,FGA,3PA,FTA,ORB,TRB.1,AST.1,STL,BLK,TOV,PF,MP.1,PTS.1,FG%,3P%,FT%,Years,AP,LAT,SR,TQS,SVL,MVL,MBP,VORP_Max
augmost01,36.25,9.350955350955351,1.5759522935993524,4.055084528613942,,6.925,2.975,1.9054521392756687,0.8730055847702907,2.142247709894769,2.625650343297402,29.425,13.775,0.55825,0.55175,0.67675,4.0,0.0,,,,,,,3.5
augusdj01,36.5,12.15,4.0097744360902245,5.465037593984961,,2.85,6.25,1.375563909774436,0.042857142857142864,2.763157894736842,,36.45,16.8,0.444,0.411,0.8105,2.0,1.0,11.27,,3.07,28.5,35.0,2.0,1.2
augusja01,34.25,6.326813811188813,0.1396780303030303,3.2484156468531467,,7.449999999999998,1.075,1.0309586247086249,1.005809294871795,,,27.125000000000004,10.075,0.615,0.2856666666666667,0.688,4.0,1.0,10.54,,3.25,30.0,32.5,13.0,0.0
austiis01,30.5,10.355376344086023,0.03279569892473118,5.386021505376345,,7.449999999999998,1.4,0.8059139784946237,0.6704301075268817,2.4919354838709684,2.8672043010752684,28.8,15.0,0.5589999999999999,0.0,0.638,2.0,0.0,,,,,,,0.8
aventan01,33.333333333333336,8.084328468229396,,3.4501326846528086,,7.433333333333334,1.2,0.5155167330089929,1.2011278195488722,2.156862745098039,2.8474495061182368,24.43333333333333,10.9,0.507,,0.6736666666666666,3.0,0.0,,,,,,,-0.1
averywi01,37.0,8.747619047619049,3.914652014652015,2.7868131868131867,,2.75,3.75,1.2164835164835164,0.02710622710622711,2.6153846153846154,2.2051282051282053,31.0,11.7,0.455,0.35350000000000004,0.7770000000000001,2.0,1.0,,,,,,,-0.4
azubuke01,32.333333333333336,7.40194101834282,2.5854482922201143,2.24960468058191,,3.7000000000000006,1.0,0.7202719797596457,0.2967465211891209,,,22.133333333333336,9.833333333333334,0.488,0.37366666666666665,0.7709999999999999,3.0,1.0,,,,,,,0.8
babbch01,32.5,6.158076106175607,4.7058253011615205,1.2405963393421886,0.7823682747781421,2.95,1.6250000000000002,0.777812068742453,0.1853243955206716,0.7856074981312173,1.3996799110651104,31.83333333333333,7.25,0.3700000000000001,0.358,0.7117500000000001,4.0,0.0,,,,,,,-0.1
babbilu01,34.0,13.632352941176471,2.617647058823529,5.779411764705883,2.0588235294117645,8.15,1.75,0.8676470588235294,0.75,2.147058823529412,2.5588235294117645,37.1,19.4,0.478,0.4225,0.8905000000000001,2.0,0.0,10.98,,3.4,29.5,37.5,15.0,0.1
babicmi01,26.66666666666667,10.017777777777779,0.2333333333333333,3.826666666666666,,7.399999999999999,0.9333333333333332,0.8044444444444444,1.4044444444444446,2.9777777777777783,3.2422222222222223,26.53333333333333,12.166666666666664,0.477,0.28600000000000003,0.6673333333333334,3.0,0.0,,,,,,,0.0
baglejo01,30.33333333333333,13.091642720306515,,6.1482279693486594,,3.5666666666666664,,1.7192528735632184,0.12885536398467431,3.8526340996168575,2.3078783524904214,32.75,17.766666666666673,0.4940000000000001,,0.769,3.0,0.0,,,,,,,0.0
baileth01,30.75,9.378637566137566,0.4166666666666667,2.7856316137566144,,6.05,0.7250000000000001,0.4564318783068783,1.6251653439153435,1.2460317460317458,2.3044394841269837,36.85,11.8,0.5025,0.667,0.735,4.0,0.0,,,,,,,0.8
baileto01,32.25,11.471102150537634,3.902019183773216,3.6682322214076253,,5.175000000000002,3.55,1.075459738514174,0.3938859359726296,3.110571440208537,2.207803844900619,31.766666666666666,14.325,0.4615,0.3315,0.6515,4.0,1.0,,,,,,,-0.2
bairsca01,33.5,5.9305231770127405,0.04554079696394688,4.090654648956357,1.7224112225535375,4.675000000000002,0.75,0.4551097858498238,0.7292220113851993,1.1553402005963676,2.0886148007590135,20.525,9.1,0.514,0.2776666666666667,0.6745,4.0,0.0,11.39,3.09,3.37,31.0,33.5,,-0.1
bakerla01,30.66666666666667,7.495833333333334,0.28194444444444444,4.301388888888889,,2.533333333333333,,,,,,30.13333333333333,10.6,0.5113333333333333,0.15,0.6743333333333332,3.0,0.0,,,,,,,0.0
bakerma01,29.5,11.729310344827585,4.6339080459770114,3.9942528735632186,,6.050000000000002,3.75,1.67183908045977,0.1528735632183908,,,33.7,16.35,0.4755,0.38799999999999996,0.825,2.0,0.0,,,,,,,0.0
bakervi01,28.0,16.245153712826127,6.087962962962963,6.250307881773398,,8.475000000000001,1.025,1.0020297390987047,2.506283068783069,2.4773763911694946,2.9661672140120414,29.425,20.05,0.50625,0.2305,0.5875,4.0,0.0,,,,,,,3.7
baldwwa01,34.0,8.030735930735931,2.93030303030303,4.453679653679654,0.4398268398268398,4.05,4.800000000000002,1.3203463203463204,0.2238095238095238,2.3359307359307357,2.5164502164502167,29.6,11.7,0.4315,0.4225,0.8005,2.0,0.0,,,,,,,-0.3
balkmre01,34.666666666666664,5.455608718766613,0.5382775119617225,2.1547049441786292,,5.233333333333333,1.6666666666666667,1.1560340244550773,1.0675172780435938,,,20.83333333333333,7.3,0.5429999999999999,0.297,0.5339999999999999,3.0,0.0,11.58,,3.22,30.5,35.0,9.0,0.9
ballce01,29.33333333333333,6.693486590038314,,4.320689655172414,,7.366666666666667,,,,,,25.6,10.2,0.5673333333333334,,0.6016666666666666,3.0,0.0,,,,,,,-0.1
banksma01,31.5,12.200604838709676,3.1159274193548385,6.779233870967742,,3.3,4.25,2.5025201612903225,0.1592741935483871,3.5655241935483866,2.907762096774193,34.3,18.05,0.49200000000000005,0.32799999999999996,0.7305,2.0,0.0,,,,,,,0.2
bannike01,24.0,11.724867724867725,,4.9523809523809526,,9.85,,0.925925925925926,1.3306878306878307,,3.7777777777777777,29.1,15.25,0.529,,0.5685,2.0,0.0,,,,,,,-0.4
bardost01,32.25,5.582942888282155,1.046245969146414,2.4013971753126366,,4.324999999999998,3.825,1.0511665599262932,0.35024325569375625,2.0456827732272678,2.5305003595465223,26.375,7.025,0.436,0.4095,0.6965000000000001,4.0,0.5,,,,,,,0.0
bareajo01,28.25,17.088003663003658,7.042244537072122,5.503640899330555,,3.825,6.35,1.5765662498421118,0.008928571428571428,,,33.300000000000004,20.225,0.4027500000000001,0.3215,0.7630000000000001,4.0,0.0,,,,,,,0.4
barklch01,28.0,8.880952380952381,,4.5476190476190474,,9.6,1.6666666666666667,0.9047619047619048,1.7261904761904765,2.2619047619047623,3.452380952380953,27.633333333333336,14.066666666666668,0.6256666666666666,,0.6499999999999999,3.0,0.0,,,,,,,9.2
barkler01,32.5,12.507722007722009,5.1003861003861015,4.435328185328184,,3.1,4.6,2.621621621621622,0.277992277992278,2.2548262548262548,2.3996138996139,35.05,14.75,0.3965,0.328,0.718,2.0,0.0,,,,,,,0.0
barneha02,37.5,13.571479374110956,4.437766714082502,4.241465149359886,1.9871977240398293,5.5,1.25,0.9043385490753912,0.3872688477951636,1.9466571834992887,1.8677098150782359,29.3,16.35,0.4305,0.35100000000000003,0.7364999999999999,2.0,0.0,10.93,,3.16,38.0,39.5,15.0,1.8
barnema02,30.25,6.982294066820277,1.5950052803379418,2.8751248079877114,,4.75,2.0,0.9336717549923196,0.36896361367127495,1.9527289746543783,2.2148833525345624,22.225,8.65,0.4635,0.24675,0.53975,4.0,0.5,,,,,,,2.8
